Date|License|Event Name|Login Code|Report Type|Source File|Failure|Failure Reason|Failure Code|Safety Score|Productivity Score|Maintenance Score|Total Score|Maximum Bucket Height|Number of Collisions Between Bucket And Truck|Number of Times Bucket Passed Over Truck Cabin|Average Bucket Fill Factor|Average Bucket Height|Average Cycle Time|Average Distance Between Bucket And Truck Rail|Average Dumping Height of Material|Average Material Per Pass|Execution Time|Fuel Burned|Highest RPM Speed Setting Used|Number of Buckets to Load Truck|Number of Trucks Loaded|Productivity|Time Spent Stopped|Time Spent Swinging Left|Time Spent Swinging Right|Trucks Incorrectly Spotted|Volume of Material Dumped into Truck|Volume of Material Moved|Number of Bucket Collisions with Ground While Stopped|Number of Bucket Slams|Time Spent Counter Rotating|Time Spent Digging Over Final Drive|Number Of Passes To Move Material
3/7/2026 3:24:00 PM|Construction Simulator Experience|Daytona Bike Week|0487278874|3|EXC - Truck Loading - 07-03-26-15.24.xml|False|||33.33|44.44|25.00|40.00|5.75327|1|1|98.13194|2.889599|15.15288|1.371743|2.001245|6.621868|275.1817|1.153773|10|5|1|433.1473|226.4823|46.44572|31.95169|0|7.845428|33.1095|1|5|1.098251|0|
3/7/2026 3:20:00 PM|Construction Simulator Experience|Daytona Bike Week|8622945662|3|EXC - Truck Loading - 07-03-26-15.20.xml|False|||100.00|33.33|25.00|40.00|5.667262|0|0|73.70026|2.371338|16.40474|1.48834|1.997663|7.605865|312.8856|1.309859|10|4|1|351.9297|214.5658|29.71374|15.45705|0|4.643168|30.58714|14|4|2.824182|0|
3/7/2026 3:15:00 PM|Construction Simulator Experience|Daytona Bike Week|7044991557|3|EXC - Truck Loading - 07-03-26-15.15.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|100.00|32.00|1.591982|0|0|0|0.5690274|0|0|0|0|16.4223|0.06174433|10|0|0|0|16.4223|0|0|0|0|0|0|0|0|0|
3/7/2026 3:12:00 PM|Construction Simulator Experience|Daytona Bike Week|4258644582|3|EXC - Truck Loading - 07-03-26-15.12.xml|False|||100.00|50.00|50.00|56.00|5.152586|0|0|102.0906|2.272705|10.87786|0.857905|1.445788|7.254506|259.5507|1.083816|10|5|1|503.1044|185.4511|46.96027|41.77047|0|7.661534|36.27253|3|5|0|0|
3/7/2026 3:12:00 PM|Construction Simulator Experience|Daytona Bike Week|8437691906|3|EXC - Truck Loading - 07-03-26-15.12.xml|False|||66.67|50.00|50.00|52.00|5.364789|1|0|65.65602|2.44813|16.94968|1.279521|1.902064|5.938129|266.6742|1.025616|10|4|1|320.65|205.2372|31.45535|30.55137|0|4.323921|23.75252|2|5|0|0|
3/7/2026 3:08:00 PM|Construction Simulator Experience|Daytona Bike Week|7275038096|3|EXC - Truck Loading - 07-03-26-15.08.xml|False|||100.00|77.78|25.00|72.00|5.837351|0|0|101.3766|2.677544|6.68821|1.474778|2.163836|6.98885|240.8262|0.9743517|10|7|1|732.4349|202.1405|53.00459|40.49852|0|8.668914|48.99708|4|10|0.1764758|0|
3/7/2026 2:59:00 PM|Construction Simulator Experience|Daytona Bike Week|7633257067|3|EXC - Truck Loading - 07-03-26-14.59.xml|False|||100.00|88.89|25.00|80.00|5.324848|0|0|109.0943|2.15891|5.757179|1.40135|2.161372|7.189392|239.208|1.004906|10|8|1|865.7789|199.4791|56.85712|32.73654|0|12.43178|57.52812|11|6|0.0936649|0|
3/7/2026 2:54:00 PM|Construction Simulator Experience|Daytona Bike Week|4705091540|3|EXC - Truck Loading - 07-03-26-14.54.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|77.78|50.00|72.00|5.22363|1|0|89.36453|1.952228|9.349521|1.606725|2.265505|4.458977|237.9498|0.9142036|10|9|1|818.8832|208.0757|51.92384|37.349|0|10.45038|54.12586|10|9|0|0|
3/7/2026 2:53:00 PM|Construction Simulator Experience|Daytona Bike Week|3862920980|3|EXC - Truck Loading - 07-03-26-14.53.xml|False|||100.00|38.89|50.00|48.00|5.533675|0|0|54.78415|2.234443|12.56335|1.460548|1.861242|4.398538|264.7057|1.106938|10|3|1|299.1008|210.2499|19.19712|22.67173|0|3.81537|21.99269|39|7|0|0|
3/7/2026 2:49:00 PM|Construction Simulator Experience|Daytona Bike Week|9043976335|3|EXC - Truck Loading - 07-03-26-14.49.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|16.67|50.00|24.00|4.591156|2|0|123.1885|1.734578|0|0|0|0|84.39268|0.3238932|10|0|1|639.3416|62.41956|5.695037|2.812203|1|0|14.98771|1|1|0|0|
3/7/2026 2:48:00 PM|Construction Simulator Experience|Daytona Bike Week|4072097101|3|EXC - Truck Loading - 07-03-26-14.48.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|27.78|50.00|32.00|7.150067|1|0|80.26484|2.721447|27.27687|1.542998|2.231288|6.141053|300.2639|1.254163|10|3|2|368.1393|252.1565|24.93989|22.71408|0|3.360681|30.70527|69|5|0|0|
3/7/2026 2:47:00 PM|Construction Simulator Experience|Daytona Bike Week|4076926585|3|EXC - Truck Loading - 07-03-26-14.47.xml|False|||33.33|33.33|50.00|36.00|7.323477|0|3|75.62074|2.536463|20.91097|1.56643|1.431587|6.008687|282.1935|1.181447|10|3|1|306.6162|212.7609|16.51539|24.88004|0|3.273981|24.03475|6|6|0|0|
3/7/2026 2:46:00 PM|Construction Simulator Experience|Daytona Bike Week|4043646070|3|EXC - Truck Loading - 07-03-26-14.46.xml|False|||66.67|33.33|25.00|36.00|5.316137|1|0|75.88775|1.592234|53.94919|1.244804|1.570355|6.599752|220.5337|0.9126874|10|1|1|107.7358|154.8987|19.06399|11.92741|0|1.316511|6.599825|18|1|6.048067|0|
3/7/2026 2:41:00 PM|Construction Simulator Experience|Daytona Bike Week|9176233300|3|EXC - Truck Loading - 07-03-26-14.41.xml|False|||66.67|33.33|25.00|36.00|6.067461|1|0|65.48904|2.761492|22.58926|1.551787|1.826938|5.557583|264.5437|1.10325|10|4|1|302.5411|220.1967|20.61809|25.22268|0|4.594648|22.23204|8|5|1.257014|0|
3/7/2026 2:41:00 PM|Construction Simulator Experience|Daytona Bike Week|4075567935|3|EXC - Truck Loading - 07-03-26-14.41.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|33.33|25.00|32.00|6.506713|2|1|70.38819|2.57268|19.54695|1.173141|1.733701|7.02212|300.3387|1.264539|10|3|1|608.0454|260.6727|23.60461|19.31249|0|0|50.72765|9|3|2.796442|0|
3/7/2026 2:41:00 PM|Construction Simulator Experience|Daytona Bike Week|5409076564|3|EXC - Truck Loading - 07-03-26-14.41.xml|False|||100.00|66.67|50.00|68.00|5.905536|0|0|104.987|2.41098|7.715048|1.211625|1.924871|6.171629|277.4336|1.154902|10|8|1|720.752|226.1443|56.41441|41.3509|0|13.013|55.54467|6|9|0|0|
3/7/2026 2:35:00 PM|Construction Simulator Experience|Daytona Bike Week|3214193635|3|EXC - Truck Loading - 07-03-26-14.35.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|33.33|25.00|32.00|7.093394|0|2|114.295|2.692112|21.60521|1.623698|2.314254|7.337523|303.4197|1.26964|10|5|1|435.2894|262.6836|31.68521|27.09951|1|7.755675|36.68761|14|5|1.548812|0|
3/7/2026 2:34:00 PM|Construction Simulator Experience|Daytona Bike Week|3529789298|3|EXC - Truck Loading - 07-03-26-14.34.xml|False|||66.67|50.00|50.00|52.00|7.079568|0|0|95.9241|2.905726|10.62195|1.299134|2.11924|5.817533|265.8004|1.068355|10|5|1|393.9632|207.9921|41.85054|41.28077|0|7.516121|29.08767|5|6|0|0|
3/7/2026 2:34:00 PM|Construction Simulator Experience|Daytona Bike Week|4075167023|3|EXC - Truck Loading - 07-03-26-14.34.xml|False|||100.00|50.00|50.00|56.00|6.157434|0|0|81.62176|2.540597|11.77723|1.115415|1.781942|6.991429|242.9034|1.003073|10|6|1|621.7076|200.394|29.66987|36.26664|0|6.922987|41.94857|7|6|0|0|
3/7/2026 2:27:00 PM|Construction Simulator Experience|Daytona Bike Week|4074146437|3|EXC - Truck Loading - 07-03-26-14.27.xml|False|||66.67|66.67|25.00|60.00|6.198763|0|2|104.7119|2.506455|12.58556|1.108279|1.85294|5.463063|253.3142|1.04374|10|8|1|699.734|202.3645|70.03204|43.60095|0|11.00742|49.23683|12|9|1.501704|0|
3/7/2026 2:27:00 PM|Construction Simulator Experience|Daytona Bike Week|7062672355|3|EXC - Truck Loading - 07-03-26-14.27.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|33.33|25.00|36.00|6.591003|4|0|27.41626|3.165461|27.02357|1.541062|1.917714|1.035647|330.2014|1.389929|10|3|1|67.74648|261.1181|45.01524|23.32024|0|1.644374|6.213883|8|5|1.501758|0|
3/7/2026 2:27:00 PM|Construction Simulator Experience|Daytona Bike Week|3192909396|3|EXC - Truck Loading - 07-03-26-14.27.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|27.78|25.00|28.00|7.266475|2|0|87.72894|2.074347|21.97315|1.034145|1.655266|7.936338|304.2652|1.279744|10|3|1|782.289|257.3186|21.09794|10.44051|1|3.772467|66.11759|18|4|3.179793|0|
3/7/2026 2:20:00 PM|Construction Simulator Experience|Daytona Bike Week|3863662246|3|EXC - Truck Loading - 07-03-26-14.20.xml|False|||100.00|61.11|50.00|64.00|6.118268|0|0|109.8856|2.671829|4.848657|1.150792|1.698236|9.111822|222.024|0.9292699|10|7|1|1034.387|176.2756|52.71315|37.34056|0|11.52903|63.79409|9|8|0|0|
3/7/2026 2:13:00 PM|Construction Simulator Experience|Daytona Bike Week|1478743112|3|EXC - Truck Loading - 07-03-26-14.13.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|33.33|16.67|50.00|24.00|4.313595|1|0|12.80654|1.487817|0|0|0|0|87.93935|0.3562079|10|0|1|120.8312|61.62025|1.887127|0.4821568|0|0|2.951615|0|2|3.52456|0|
3/7/2026 2:10:00 PM|Construction Simulator Experience|Daytona Bike Week|4234571961|3|EXC - Truck Loading - 07-03-26-14.10.xml|False|||66.67|44.44|50.00|48.00|6.572888|1|0|114.2395|2.694697|6.545939|1.090839|1.945696|6.369655|260.4447|1.078123|10|7|1|616.3125|134.45|44.71822|27.05698|0|10.77802|44.58759|1|8|0|0|
3/7/2026 2:10:00 PM|Construction Simulator Experience|Daytona Bike Week|5165077769|3|EXC - Truck Loading - 07-03-26-14.10.xml|False|||100.00|33.33|25.00|40.00|5.657047|0|0|55.98253|2.320659|22.61915|1.225269|1.951273|4.774626|282.8148|1.183188|10|2|1|182.6176|206.2234|21.06428|15.70339|1|1.692317|14.34638|19|5|3.322496|0|
3/7/2026 2:03:00 PM|Construction Simulator Experience|Daytona Bike Week|3076209005|3|EXC - Truck Loading - 07-03-26-14.03.xml|False|||100.00|72.22|25.00|68.00|6.499034|0|0|88.90736|2.498796|6.517419|1.545471|2.140077|4.29589|256.4363|1.072595|10|7|1|422.1629|214.5208|57.70755|44.6248|0|9.514141|30.07164|14|8|8.113679|0|
3/7/2026 1:59:00 PM|Construction Simulator Experience|Daytona Bike Week|5084964976|3|EXC - Truck Loading - 07-03-26-13.59.xml|True|Incomplete Objectives Remain|FAILURE_OBJECTIVES_INCOMPLETE|66.67|11.11|75.00|28.00|1.489697|0|0|0|0.5423763|0|0|0|0|19.13024|0.07227895|10|0|0|0|19.13024|1.263324|0|0|0|0|1|0|0|0|
3/7/2026 1:56:00 PM|Construction Simulator Experience|Daytona Bike Week|7744884674|3|EXC - Truck Loading - 07-03-26-13.56.xml|False|||66.67|61.11|25.00|56.00|5.390313|1|0|104.1312|2.610915|15.74562|1.371167|1.758379|4.348718|239.9975|0.8573462|10|6|1|457.8439|193.8357|65.62607|48.97386|0|8.573997|30.52262|13|6|0.6515924|0|
